## Tmux
Open new window | `l` + `c`
Next Pane | `l + o`
Most recent other window | `l + l`

## Spectre
Open spectre | `l-sr`
Repeat previous search | `l-l`

## Flash.nvim
Forward to letter | `f{n}`
Forward, next result | `f{n}`
Motion: Backward | `F`

## Vim
Save | `C-s`
Escape | `C-[`
Reselect last visual selection | `gv`
Move Up a Page | `C-u`
Move Down a Page | `C-d`
Go back to previous location | `C-o`
Go forward to next location | `C-i`
Go to file under cursor | `gf`
Go to next empty line | `}`
Go to previous empty line | `{`
Paste above current line | `P`
File Tree (navigate back and forth) | `l-w 0`
Mark - Delete | `:delmarks [mark]`
Repeat f search | `;`
Repeat t search | `;`
Replace in quotes with register | `vi"P`
Paste without overwriting register | `P`
Paste below current line | `:pu`
Open link in browser | `gx`
Increment number | `3 C-a`
Decrement number | `3 C-x`
Redo | `C-r`

## Zellij
Detach session | `C-o d`
